EstablishmentNumber,StartDate,EnterpriseNumber
2.000.194.636,01-01-1964,0404.887.106
2.000.194.834,24-08-1964,0404.415.368
2.000.195.032,01-01-1965,0590.761.474
2.000.196.121,01-12-1964,0400.537.744
2.000.197.804,29-04-1985,0618.539.207
2.000.199.089,01-07-1965,0405.622.227
2.000.199.188,01-05-1967,0405.622.227
2.000.199.287,01-01-1965,0405.665.777
2.000.199.584,01-01-1965,0403.324.713
2.000.199.881,01-02-1965,0402.203.966
2.000.199.980,01-01-1965,0563.101.925
2.000.200.475,01-10-1964,0403.567.213
2.000.203.544,01-12-1964,0402.568.905
2.000.203.940,01-11-1966,0402.318.089
2.000.204.039,01-01-1965,0404.339.649
2.000.204.138,01-01-1965,0401.482.208
2.000.204.237,01-01-1965,0616.420.053
2.000.205.029,01-12-1964,0400.756.587
2.000.205.227,01-01-1965,0623.040.205
2.000.206.019,01-07-1967,0623.089.792
2.000.207.603,01-01-1965,0623.216.981
2.000.208.492,01-12-1964,0404.148.322
2.000.209.383,01-10-1964,0402.751.522
2.000.209.878,01-01-1965,0676.139.587
2.000.209.977,01-12-1964,0404.040.236
2.000.210.076,22-06-1995,0404.040.236
2.000.210.571,01-01-1948,0744.072.251
2.000.210.670,01-12-1972,0744.072.251
2.000.211.066,01-12-1963,0400.775.987
2.000.211.462,01-03-1967,0529.229.723
2.000.211.660,01-01-1965,0405.226.606
2.000.213.739,01-07-1964,0404.444.171
2.000.213.838,01-03-1967,0405.116.441
2.000.214.036,01-02-1965,0530.244.857
2.000.214.927,01-02-1965,0522.817.330
2.000.216.709,01-01-1967,0405.104.860
2.000.217.204,01-01-1965,0625.438.677
2.000.217.303,03-06-1996,0625.438.677
2.000.217.402,01-01-1965,0401.756.677
2.000.217.501,01-02-1965,0654.605.290
2.000.218.984,01-03-1965,0405.706.755
2.000.220.964,01-02-1967,0402.563.262
2.000.222.746,05-02-1992,0403.503.370
2.000.223.340,01-01-1965,0400.571.396
2.000.224.231,01-01-1965,0400.443.912
2.000.224.528,01-02-1967,0403.097.950
2.000.225.023,01-12-1964,0404.467.432
2.000.225.122,23-01-1967,0403.093.990
2.000.225.221,01-03-1967,0402.904.445
2.000.225.716,01-03-1967,0403.127.149
2.000.226.013,01-03-1967,0400.382.445
2.000.226.508,01-03-1964,0400.591.390
2.000.227.496,01-11-1964,0405.091.103
2.000.230.565,01-01-1965,0405.413.082
2.000.231.951,01-12-1964,0401.378.377
2.000.232.545,19-12-1994,0694.042.720
2.000.232.644,01-08-1961,0404.348.359
2.000.233.436,01-01-1965,0402.561.183
